SYMBOL,NAME,EXCHANGE
500186:HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,BSE
500187:HSIL,HSIL LTD.,BSE
500188:HINDZINC,HINDUSTAN ZINC LTD.,BSE
500189:HINDUJAVEN,HINDUJA VENTURES LTD.,BSE
500191:HMT,HMT LTD.,BSE
500192:PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,BSE
500193:HOTELEELA,HOTEL LEELAVENTURE LTD.,BSE
500199:IGPL,I G PETROCHEMICALS LTD.,BSE
500201:INDIAGLYCO,INDIA GLYCOLS LTD.,BSE
500202:INDLEASE,INDIA LEASE DEVELOPMENT LTD.,BSE
500207:INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,BSE
500209:INFY,INFOSYS LTD.,BSE
500210:INGERRAND,INGERSOLL-RAND (INDIA) LTD.,BSE
500211:INSILCO,INSILCO LTD.,BSE
500212:IFSL,INTEGRATED FINANCIAL SERVICES LTD.,BSE
500213:ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,BSE
500214:IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,BSE
500215:ATFL,AGRO TECH FOODS LTD.,BSE
500219:JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,BSE
500220:JASCH,JASCH INDUSTRIES LTD.,BSE
500222:JCTEL,JCT ELECTRONICS LTD.,BSE
500223:JCTLTD,JCT LTD.,BSE
500227:JINDALPOLY,JINDAL POLY FILMS LTD.,BSE
500228:JSWSTEEL,JSW STEEL LTD.,BSE
500231:UMANGDAIR,UMANG DAIRIES LTD.,BSE
500233:KAJARIACER,KAJARIA CERAMICS LTD.,BSE
500234:KAKATCEM,KAKATIYA CEMENT SUGAR &amp; INDUSTRIES LTD.,BSE
500235:KSL,KALYANI STEELS LTD.,BSE
500236:KANELIND,Kanel Industries Limited,BSE
500238:WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,BSE
500239:KGDENIM,KG DENIM LTD.,BSE
